category,level,en,it
adjectives,A2,useful,utile
adjectives,A2,comfortable,comodo
adjectives,A2,boring,noioso
adjectives,A2,exciting,entusiasmante
adjectives,A2,friendly,amichevole
adjectives,A2,healthy,sano
adjectives,A2,hungry,affamato
adjectives,A2,thirsty,assetato
adjectives,A2,tired,stanco
adjectives,A2,busy,impegnato
adjectives,A2,noisy,rumoroso
adjectives,A2,quiet,tranquillo
adjectives,A2,polite,educato
adjectives,A2,rude,maleducato
adjectives,A2,dangerous,pericoloso
adjectives,A2,safe,sicuro
adjectives,A2,expensive,costoso
adjectives,A2,cheap,economico
adjectives,A2,crowded,affollato
adjectives,A2,empty,vuoto
adjectives,A2,late,in ritardo
adjectives,A2,early,in anticipo
adjectives,A2,clever,intelligente
adjectives,A2,lazy,pigro
adjectives,A2,curious,curioso
adjectives,A2,serious,serio
adjectives,A2,funny,divertente
adjectives,A2,fresh,fresco
adjectives,A2,soft,morbido
adjectives,A2,hard,duro
adjectives,A2,useless,inutile
adjectives,A2,tasty,gustoso
adjectives,A2,spicy,piccante
adjectives,A2,sweet,dolce
adjectives,A2,salty,salato
adjectives,A2,famous,famoso
adjectives,A2,typical,tipico
adjectives,A2,local,locale
adjectives,A2,national,nazionale
verbs,A2,agree,essere d'accordo
verbs,A2,arrive,arrivare
verbs,A2,borrow,prendere in prestito
verbs,A2,break,rompere
verbs,A2,bring,portare
verbs,A2,build,costruire
verbs,A2,choose,scegliere
verbs,A2,change,cambiare
verbs,A2,clean,pulire
verbs,A2,close,chiudere
verbs,A2,decide,decidere
verbs,A2,explain,spiegare
verbs,A2,fall,cadere
verbs,A2,find,trovare
verbs,A2,forget,dimenticare
verbs,A2,get,ottenere
verbs,A2,happen,succedere
verbs,A2,invite,invitare
verbs,A2,join,unirsi
verbs,A2,keep,tenere
verbs,A2,leave,lasciare/partire
verbs,A2,lend,prestare
verbs,A2,move,muovere/trasferirsi
verbs,A2,open,aprire
verbs,A2,own,possedere
verbs,A2,pay,pagare
verbs,A2,plan,pianificare
verbs,A2,promise,promettere
verbs,A2,reach,raggiungere
verbs,A2,receive,ricevere
verbs,A2,recognize,riconoscere
verbs,A2,repair,riparare
verbs,A2,send,inviare
verbs,A2,share,condividere
verbs,A2,stay,stare/soggiornare
verbs,A2,teach,insegnare
verbs,A2,travel,viaggiare
verbs,A2,try,provare
verbs,A2,turn,girare
verbs,A2,visit,visitare
verbs,A2,wait,aspettare
verbs,A2,wash,lavare
verbs,A2,watch,guardare
verbs,A2,wear,indossare
verbs,A2,win,vincere
verbs,A2,worry,preoccuparsi
verbs,A2,smile,sorridere
verbs,A2,laugh,ridere
verbs,A2,wish,desiderare
verbs,A2,improve,migliorare
nouns,A2,appointment,appuntamento
nouns,A2,apartment,appartamento
nouns,A2,bill,conto/fattura
nouns,A2,blanket,coperta
nouns,A2,bottle,bottiglia
nouns,A2,bridge,ponte
nouns,A2,calendar,calendario
nouns,A2,castle,castello
nouns,A2,ceiling,soffitto
nouns,A2,charger,caricatore
nouns,A2,choice,scelta
nouns,A2,city center,centro città
nouns,A2,clinic,clinica
nouns,A2,cloud,nuvola
nouns,A2,coast,costa
nouns,A2,college,università
nouns,A2,competition,gara/competizione
nouns,A2,concert,concerto
nouns,A2,corner,angolo
nouns,A2,couple,coppia
nouns,A2,customer,cliente
nouns,A2,decision,decisione
nouns,A2,delivery,consegna
nouns,A2,department,reparto/dipartimento
nouns,A2,discount,sconto
nouns,A2,drawing,disegno
nouns,A2,driver,autista
nouns,A2,entrance,ingresso
nouns,A2,eraser,gomma
nouns,A2,error,errore
nouns,A2,excuse,scusa
nouns,A2,factory,fabbrica
nouns,A2,furniture,mobili
nouns,A2,gift,regalo
nouns,A2,guest,ospite
nouns,A2,heater,termosifone
nouns,A2,hill,collina
nouns,A2,island,isola
nouns,A2,keyboard,tastiera
nouns,A2,kitchen,cucina
nouns,A2,laptop,portatile
nouns,A2,locker,armadietto
nouns,A2,luck,fortuna
nouns,A2,meeting,riunione
nouns,A2,mirror,specchio
nouns,A2,mountain,montagna
nouns,A2,neighbour,vicino
nouns,A2,noise,rumore
nouns,A2,passport,passaporto
nouns,A2,phrase,frase/locuzione
nouns,A2,pillow,cuscino
nouns,A2,receipt,scontrino
nouns,A2,remote control,telecomando
nouns,A2,rule,regola
nouns,A2,screen,schermo
nouns,A2,sheet,lenzuolo/foglio
nouns,A2,shelf,mensola
nouns,A2,shop assistant,commesso
nouns,A2,shore,riva
nouns,A2,shoulder,spalla
nouns,A2,solution,soluzione
nouns,A2,stair,gradino